DocIndex	Position	Left	Middle	Right
4	456	Ruler"})) doc-countifs-مع-أو-	المنطق	-5 شرح الصيغة: = SUMPRODUCT (1
4	680	200. doc-countifs-مع-أو-	المنطق	-6 الرجاء إدخال الصيغة التالية
4	731	عمودي. doc-countifs-مع-أو-	المنطق	-7 عد الخلايا بمجموعات متعددة
4	802	معقدة . doc-countifs-مع-أو-	المنطق	-8 يُرجى نسخ الصيغة أدناه
4	850	0))) doc-countifs-مع-أو-	المنطق	-9 شرح الصيغة: =SUMPRODUCT(ISNUMBER
4	998	TRUE؛ FALSE}. يمكن أيضًا تطبيق	المنطق	أعلاه على تعبيري ISNUMBER الثاني
5	695	الفنيِّ الجديد وتحرُّرَه من بلاغةِ	المنطق	العقليّ هي التي أكسبت اللاّمعقول
6	7	علم النفس , وعلم الاجتماع كلمة	المنطق	في اللغة العربية، مشتقة من
6	44	أو حيوان مفكر. وأصل كلمة	المنطق	في اللغة الأنكليزية ( Logic) من
6	66	سنتعرف بشكل عام على علم	المنطق	وقوانينه وأهميته في براهين الرياضيات
6	97	كلما اقتضتْ الضرورة. يًعرَّف علم	المنطق	بحسب الموسوعة البريطانية ]1[ ، بأنَّه
6	123	تُلزم عنها. وبهذا التعريف يكون	المنطق	الآلة التي مراعاتها تعصم الذهن
6	138	من العناصر الأساسية في علم	المنطق	، القضية المنطقية، والتي هي عبارة
6	209	وإنَّ أول من حدد قوانين	المنطق	هو الفيلسوف اليوناني أرسطو، وهي
6	343	شجرة أو بقرة مثلاً. وقوانين	المنطق	الثلاثة متداخلة مع بعضها، وسيتردد
6	355	كثيراً لقانون الهوية. ويبرز إستخدام	المنطق	بشكل أساسي في الرياضيات والعلوم
6	370	من أولى العلوم التي إستخدمت	المنطق	في براهينها. وتأتي في المقدمة
6	452	نقيض بديهية التوازي، وبفضلها وبإستخدام	المنطق	تم برهان نظريات كثيرة، وجدت
6	631	على أساس البديهيات، مبرهنة بإستخدام	المنطق	، ولا مجال للخطأ فيها. ومثلما
6	638	مجال للخطأ فيها. ومثلما يُطبَّق	المنطق	في الرياضيات والعلوم، كذلك يُطبَّق
6	655	معينة، وستتوضح الأمور بأمثلة لاحقة.	المنطق	في الحياة الواقعية ينبغي أن
6	738	منها الى حد كبير، بإستخدام	المنطق	، وهنا سنسترشد بمنطق الرياضيات. وفيما
6	797	الى حالة التجريد حيث يتحقق	المنطق	بالكشف عن "هوية الأشياء او
6	889	شانك، تحت عنوان: كيف يساعدنا	المنطق	التجريدي للرياضيات في فهم الحياة
6	1780	الطبية المرموقة. وكان بالإمكان استخدام	المنطق	للإستدلال بحقيقة وجود الفيروس وخطورته
6	1804	صعوية الأمور الواقعية وابتعادها عن	المنطق	لكثرة الشوائب التي ترافقها وزيادة
6	1823	أن تسلك سلوكاً أقرب الى	المنطق	، اذا أجرينا عليها طبقات من
6	1854	استخدام البديهيات العقلية، المتمثلة بقوانين	المنطق	عالية، ويقينا ذلك من الأوهام
7	30	المؤسسة (الملّاك وحملة الأسهم)، وكان	المنطق	السائد هو: المؤسسة أولاً، وبعد
9	12	2016/4/30٣٠ أبريل ٢٠١٦	المنطق	يقول أن الخيانة الزوجية قد
11	27	برع في الطب وتقدم في	المنطق	والكلام، وتوفي بالنجف سنة 1332هـ
11	129	العينية للسيد الحميري، وكتاب في	المنطق	. * تقي بن محمد بن يوسف
12	42	وعي تطفر من العقل و	المنطق	الاستقرائي لمكونات الوجود ، رائحة إلى
13	11	السليم من ويكيبيديا، الموسوعة الحرة	المنطق	يعني دراسة التفكير الصحيح. ويضم
13	19	التفكير الصحيح. ويضم كلًا من	المنطق	الصوري وغير الصوري. المنطق الصوري
13	23	من المنطق الصوري وغير الصوري.	المنطق	الصوري هو دراسة الاستدلالات الصحيحة
13	50	عن موضوعها أو محتواها. يرتبط	المنطق	غير الصوري بالمغالطات غير الصورية
13	68	عنها باللغة الطبيعية بينما يستخدم	المنطق	الصوري اللغة الصورية. عندما يُستخدم
13	87	شكلي يبيّن نظام إثبات. يلعب	المنطق	دورًا محوريًا في مجالات عديدة
13	99	والرياضيات وعلوم الحاسوب واللسانيات. يدرس	المنطق	الحجج، والتي تتألف من مجموعة
13	320	معايير التفكير الصحيح المغالطات. أنظمة	المنطق	أُطُر نظرية لتقدير صحة الحجج
13	327	نظرية لتقدير صحة الحجج. إن	المنطق	موضع دراسة منذ العصور القديمة
13	336	العصور القديمة. تتضمن النهوج القديمة	المنطق	الأرسطي والمنطق الرواقي ونيايا والموهية
13	343	والمنطق الرواقي ونيايا والموهية. يركز	المنطق	الأرسطي على التفكير في هيئة
13	361	العالم الغربي إلى أن حل	المنطق	الصوري الحديث محله، والذي ترجع
13	385	اليوم، فأكثر الأنظمة استخدامًا هو	المنطق	الكلاسيكي. يتألف من منطق القضايا
13	418	بالحسبان، مثل المحمولات والمكممات. يقبل	المنطق	الموسع الغرائز الأساسية خلف المنطق
13	423	المنطق الموسع الغرائز الأساسية خلف	المنطق	الكلاسيكي ويوسعها إلى ميادين أخرى
13	434	كالميتافيزيقا والأخلاقيات ونظرية المعرفة. أما	المنطق	المنحرف من ناحية أخرى، فيرفض
13	447	الكلاسيكية ويقدم تفسيرات بديلة لقوانين	المنطق	الأساسية. تعريفه رجع أصل كلمة
13	467	عدة، كالعقل والخطاب واللغة. يُعرف	المنطق	تقليديًا بأنه دراسة قوانين التفكير
13	500	تنطبق هذه التوصيفات العامة على	المنطق	بأوسع معانيه، أي على كل
13	507	معانيه، أي على كل من	المنطق	الصوري وغير الصوري نظرًا إلى
13	519	كلاهما يُعنى بتقييم صحة الحجج.	المنطق	الصوري هو الحقل المهيمن تقليديًا
13	527	الحقل المهيمن تقليديًا، وبعض علماء	المنطق	يحصرون المنطق بالمنطق الصوري. المنطق
13	529	تقليديًا، وبعض علماء المنطق يحصرون	المنطق	بالمنطق الصوري. المنطق الصوري يُعرف
13	532	المنطق يحصرون المنطق بالمنطق الصوري.	المنطق	الصوري يُعرف المنطق الصوري أيضًا
13	535	بالمنطق الصوري. المنطق الصوري يُعرف	المنطق	الصوري أيضًا بالمنطق الرمزي ويُستخدم
13	545	ويُستخدم على نطاق واسع في	المنطق	الرياضي. يستخدم النهج الصوري لدراسة
13	587	فقط لا بمحتواها الملموس. يهتم	المنطق	الصوري بالحجج الصحيحة استنتاجيًا، والتي
13	663	في هذا المعنى، يمكن تعريف	المنطق	الصوري بأنه علم الاستدلالات الصحيحة
13	672	الاستدلالات الصحيحة. يرى تعريف بديل	المنطق	على أنه دراسة الحقائق المنطقية
13	747	تكون كيو» صحيح منطقيًا. يستخدم	المنطق	الصوري اللغات الصورية للتعبير عن
13	834	الشكلَ المنطقي الأساسي في علم	المنطق	، ويتم تحديد صحة المفاهيم من
13	851	محتواها. ومن الأمثلة المنطقية الرسمية	المنطق	الأرسطي التقليدي والمنطق الرمزي الحديث
13	857	الأرسطي التقليدي والمنطق الرمزي الحديث.	المنطق	غير الصوري (غير الرسمي): هو
13	873	المغالطات هي فرع مهم من	المنطق	غير الرسمي. نظرًا لأن الكثير
13	891	الدقيق للكلمة، ففي بعض مفاهيم	المنطق	، فإن المنطق غير الرسمي ليس
13	893	ففي بعض مفاهيم المنطق، فإن	المنطق	غير الرسمي ليس منطقًا على
13	900	الرسمي ليس منطقًا على الإطلاق.	المنطق	الرسمي: هو دراسة الاستدلال مع
13	942	أقرب دراسة رسمية معروفة للمنطق.	المنطق	الرسمي الحديث يتبع ويوسع منطق
13	953	أرسطو. في العديد من تعريفات	المنطق	، الاستنتاج المنطقي والاستدلال مع المحتوى
13	968	الشيء. هذا لا يجعل فكرة	المنطق	غير الرسمي مفرغة، لأنه لا
13	984	الفروق الدقيقة في اللغة الطبيعية.	المنطق	الرمزي: هو دراسة التجريدات الرمزية
13	1000	المنطقي. غالبًا ما يتم تقسيم	المنطق	الرمزي إلى فرعين رئيسيين: المنطق
13	1005	المنطق الرمزي إلى فرعين رئيسيين:	المنطق	الافتراضي والمنطق الأصلي. المنطق الرياضي
13	1009	رئيسيين: المنطق الافتراضي والمنطق الأصلي.	المنطق	الرياضي: هو امتداد للمنطق الرمزي
13	1030	المجموعات ونظرية الحوسبة. تاريخ علم	المنطق	المنطق يأتي من كلمة logos
13	1031	ونظرية الحوسبة. تاريخ علم المنطق	المنطق	يأتي من كلمة logos اليونانية
13	1057	في العالم الغربي، تم تطوير	المنطق	لأول مرة بواسطة أرسطو، الذي
13	1068	أطلق عليه اسم «التحليلات». أصبح	المنطق	الأرسطي مقبولًا على نطاق واسع
13	1099	عن إدخال القياس المنطقي الافتراضي،	المنطق	الشرطي الزمني، والمنطق الاستقرائي، وكذلك
13	1143	خلال العصور الوسطى العليا، أصبح	المنطق	محورًا رئيسيًا للفلاسفة، الذين كانوا
13	1232	السادس عشر، طورت نظريات تشبه	المنطق	الحديث، مثل التمييز بين جوتلوب
13	1264	الحديثة. منذ عام 1824، جذب	المنطق	الهندي انتباه العديد من العلماء
13	1276	وكان له تأثير على علماء	المنطق	المهمين في القرن التاسع عشر
13	1301	مثل ستانيسلاف شاير وكلاوس غلاشوف	المنطق	الهندي على نطاق أوسع. ساد
13	1307	الهندي على نطاق أوسع. ساد	المنطق	الذي طوره أرسطو في الغرب
13	1325	الاهتمام بأساسيات الرياضيات على تطوير	المنطق	الرمزي (الذي يسمى الآن المنطق
13	1330	المنطق الرمزي (الذي يسمى الآن	المنطق	الرياضي). في عام 1854، نشر
13	1352	النظريات الرياضية للمنطق والاحتمالات، مقدمًا	المنطق	الرمزي ومبادئ ما يعرف الآن
13	1369	جوتلوب فريجه "Begriffsschrift"، الذي افتتح	المنطق	الحديث مع اختراع التدوين الكمي
13	1421	من البديهيات وقواعد الاستدلال في	المنطق	الرمزي. في عام 1931، أثار
13	1438	الاكتمال) مع البرنامج التأسيسي وتوقف	المنطق	في التركيز على مثل هذه
13	1447	مثل هذه القضايا. كان لتطور	المنطق	منذ جوتلوب فريجه ورسل ولودفيغ
13	1467	الفلسفية وفلسفة الرياضيات. يتم تنفيذ	المنطق	، وخاصة المنطق الحسي، في دوائر
13	1469	الرياضيات. يتم تنفيذ المنطق، وخاصة	المنطق	الحسي، في دوائر منطق الحاسوب
13	1483	الحاسوب. عادة ما يتم تدريس	المنطق	من قبل الجامعة في تخصصات
15	242	يجب استثمارها، متجاهلة أن هذا	المنطق	الأعوج تلفظه كل القوانين والشرائع
16	547	منطق البخلاء يُعادي و يُجافي	المنطق	السّائد: قلب المواضعات الاجتماعيّة و
17	71	نظام ضوئي مستقل قائم على	المنطق	الضبابي وهو عبارة عن نظام
17	97	والصواب كما هو الحال مع	المنطق	المعروف. يقبل نظام المنطق الضبابي
17	101	مع المنطق المعروف. يقبل نظام	المنطق	الضبابي الطاقة المستهلكة والمتوسط ​​الشهري
18	150	الجاف المتعالي ولو كان بلغة	المنطق	و البرهان، بل ربما عجزت
18	187	عاقبة وأسرع استجابة من لغة	المنطق	، كما أنّ اتقان المرأة للغة
19	219	لا يلجأ إلى البرهان أو	المنطق	البرهاني لأن من حق البرهان
20	78	أنها دراسة البنى المجردة باستخدام	المنطق	و البراهين الرياضية و التدوين
20	293	اليونانيين القدماء له ومن فروع	المنطق	: المنطق المجرد الجبر المنطقى (boolean
20	294	القدماء له ومن فروع المنطق :	المنطق	المجرد الجبر المنطقى (boolean logic
20	334	هو يعتمد بدوره على مبادئ	المنطق	البوولى و منطق القضايا المنطق
20	339	المنطق البوولى و منطق القضايا	المنطق	الوقتى (temporal logic) المنطق الضبابي
20	343	القضايا المنطق الوقتى (temporal logic)	المنطق	الضبابي نظرية الإعتقاد (belief theory
20	349	الضبابي نظرية الإعتقاد (belief theory)	المنطق	القافى (Q logic
21	103	على مجلة حكمة. نسخة PDF	المنطق	العربي هو تقليد فلسفي استمر
21	261	لديَّ للمادّة التي أغطيها هو “	المنطق	العربي”. يشير المصطلح الذي استخدمتُه
21	269	المصطلح الذي استخدمتُه إلى تقليد	المنطق	المتأصِّل في النصوص المترجمة من
21	390	الموضوع. ثانيًا: كان على تقليد	المنطق	العربي بعد القرن الثالث عشر
21	455	أصبح يطلق عليه إلى الأبد “	المنطق	” قد تبلورت بالفعل. إنَّ إجراءه
21	470	ليس ضروريًّا ولا كافيًا لاعتبار	المنطق	منطقًا عربيًّا. فقد جرى تبنِّي
21	477	عربيًّا. فقد جرى تبنِّي معضلات	المنطق	العربي وتسجيلها في مصطلحات فنية
21	546	بحسب استخدامي -: منطقًا عربيًّا. إن	المنطق	الحديث في التقليد الذي افتتحه
21	586	باللغة العربية، تستند فحسب إلى	المنطق	الذي درسوه في روما؛ فإنهم
21	595	روما؛ فإنهم قد كانوا يكتبون	المنطق	اللاتيني باللغة العربية، وليس منطقًا
21	618	3 الأرسطية الرشدية 1-4	المنطق	في القرن الثاني عشر 1
21	669	ومدرسة مراغة 1-5-3	المنطق	والمدرسة 1-6 ترسيم التقاليد
21	686	الخلاف 2-1 مسألة موضوع	المنطق	2-1-1 الألفاظ والمعاني
21	708	2-2 محتويات الأطروحة في	المنطق	2-2-1 المنطق كعلم
21	712	في المنطق 2-2-1	المنطق	كعلم رسمي 2-2-2
21	876	طويلة؛ فإن هذه المادة تقابل	المنطق	القديم (logica vetus) للغرب اللاتيني
21	896	أن هناك اختلافاتٍ مهمةً بين	المنطق	العربي في القرن الثامن والمنطق
21	1344	كلَّ مكانٍ كُتب فيه تاريخ	المنطق	العربي باعتباره المدافع الخجول عن
21	1360	الناطقين بالعربية بحاجةٍ إلى تعلُّم	المنطق	اليوناني. ففي مناظرةٍ حول المزايا
21	1370	المزايا النسبية لقواعد اللغة وقواعد	المنطق	، عُقِدت لتسلية الوزير؛ يواجه [أبو
21	1406	إليه، وبالنحويّ حاجة شديدة إلى	المنطق	؛ لأنّ المنطق يبحث عن المعنى
21	1408	حاجة شديدة إلى المنطق؛ لأنّ	المنطق	يبحث عن المعنى، والنحو يبحث
21	1444	على رؤية أبي بشر لعلاقة	المنطق	باللغة؛ فقد خرج من عاصفة
21	1477	البعض كانوا متشككين في جدوى	المنطق	الأرسطي. ذهب علماء مسلمون آخرون
21	1489	أبعد من السيرافي، واعتبروا دراسة	المنطق	إثمًا، ويرجع ذلك بالأساس إلى
21	1569	زعم أنه لا غنى عن	المنطق	لتحليل أشكال الحجج المستخدمة في
21	1600	وبذلك فقد مهَّد الطريقَ لإدخال	المنطق	في المدرسة (انظر: 1. 4
21	1615	كتب الفارابي: المختصر الصغير في	المنطق	على طريقة المتكلمين. الذي شرح
21	1660	تمثِّل أفضلَ إنجاز في دراسة	المنطق	الأرسطي باللغة العربية. يهدف عمله
21	1721	أول مفكّر مستقلّ بحق في	المنطق	العربي، وهي حقيقةٌ احتفى بها
21	1846	بسرعة كبيرة، لدرجة أنه لدراسة	المنطق	الفارابي حتى في أواخر القرن
21	2204	أيضًا عن تفسير الفارابي لهذا	المنطق	. ولابن سينا، على كل حال
21	2462	الوحيد المهم لابن سينا في	المنطق	العربي اللاحق. استخرج المنطقيون في
21	2513	الرويهب، xlv–xlviii). 1-4	المنطق	في القرن الثاني عشر يعدُّ
21	2571	العصور؛ حُججَ الفارابي الداعمة لفائدة	المنطق	في اللاهوت [الكلام] والقانون [الفقه
21	2641	القرن الثاني عشر؛ بدأ ظهور	المنطق	السينوي المعدَّل، الذي سيجري تبنِّيه
21	2739	الثاني. وعلى الرغم من أن	المنطق	كان في الأصل جزءًا من
21	2865	5. 1). جادل الغزالي بأن	المنطق	، إذا فُهم بشكل صحيح؛ خالٍ
21	2879	الضارة بالإيمان. وهذا يعني أن	المنطق	يمكن استعماله في الاستدلال الشرعي
21	2924	من كونه غيرَ ضارّ؛ كان	المنطق	ضروريًّا للمعرفة الصحيحة. هذا ما
21	2948	عمليْن من أعماله السابقة في	المنطق	): نذكر في هذه المقدمة، …، شرط
21	3018	أهميته التاريخية في عملية إدخال	المنطق	إلى المدرسة؛ إلا أن المنطق
21	3023	المنطق إلى المدرسة؛ إلا أن	المنطق	الذي دافع عنه الغزالي كان
21	3280	الثاني عشر ولكنّ العمل على	المنطق	، الذي كان متقدِّمًا من الناحية
21	3399	في إجراء التعديلات النهائية على	المنطق	السينوي، الذي تميّز بكونه المادّة
21	3422	بعدها نجح الغزالي في إدخال	المنطق	إلى المدرسة (على الرغم من
21	3475	التغييرات الرئيسة على مدى وبِنية	المنطق	السينوي. أُدخلت هذه التغييرات بصورة
21	3487	في أطروحات قائمة بنفسِها في	المنطق	. ولوحظ أن القرن الثالث عشر
21	3499	هو الوقت “الذي انفصل فيه	المنطق	باللغة العربية عن التفسير النصِّي
21	3521	من الكتب المدرسية الرئيسة لتدريس	المنطق	في القرون اللاحقة؛ تأتي من
21	3547	عشر؛ الطرقَ التي تغيَّر بها	المنطق	العربي منذ أواخر القرن الثاني
21	3614	تكن وهي ممتلئة من ثمرة	المنطق	وفائدته كما قلناه (ابن خلدون
21	3681	2002). كان معلمه الأول في	المنطق	هو مجد الدين الجيلي، الذي
21	3781	العرض. إن إحدى الطرق لفهم	المنطق	العربي في القرن الثالث عشر
21	3789	القرن الثالث عشر، على الأقل	المنطق	المطوَّر في بلاد فارس والمناطق
21	3816	القسم 2، 3 أدناه. وهذا	المنطق	السينوي: الرازي، مثل الساوي؛ لا
21	3861	المزيد من التغييرات الجوهرية على	المنطق	السينوي. وقد حُقِّق كتابه الأساس
21	3868	وقد حُقِّق كتابه الأساس في	المنطق	مؤخرًا، وهو: كشف الأسرار عن
21	3920	بأنها “أصحاب تصانيف جليلة في	المنطق	والحكمة،…، [منهم] أفضل الدين الخونَجي
21	4105	اللذين أصبحا الدعامة الأساسية لتدريس	المنطق	في المدرسة، حيث دُرسا من
21	4203	كُتِبت الأعمال الرئيسة للكاتبي في	المنطق	(الأطروحة الطويلة: جامع الدقائق، والكتاب
21	4277	اجتازه معظم العلماء المسلمين في	المنطق	. الطوسيُّ مثيرٌ للاهتمام بشكل خاص
21	4370	ابن سينا، وكذلك عرضه لذلك	المنطق	. ولنأخذ مثالًا على ذلك: فقد
21	4579	واستُخدم في الحوزات الشيعية لتقديم	المنطق	(الرويهب 2010ب: 108 هامش 7
21	4632	والأبهري والكاتبي. 1-5-3	المنطق	والمدرسة استُخدِمت نصوصُ الأبهري والكاتبي
21	4689	أن الطلّاب الذين انجذبوا إلى	المنطق	قد درسوا بشكل جيد خارجَ
21	4747	مرارًا وتكرارًا على أن دراسة	المنطق	مهمة جدًّا بالنسبة للدين كفرض
21	4772	قادرين على متابعة دراسته. علم	المنطق	على قسمين، القسم الأول: ما
21	4808	وسعد الدين (التفتازاني، أي تهذيب	المنطق	)، وغيرهم من المتأخرين؛ فهذا ليس
21	4867	الفتوى تدعونا إلى التفكير في	المنطق	الممزوج بالفلسفة؛ أحد الباحثين المذكورين
21	5089	الإقليمية عاملًا مهمًا في تقاليد	المنطق	المدروس في الأندلس. وبشكلٍ عام
21	5317	الحديثة تعقيداتِ تشكيل تقاليد تدريس	المنطق	هناك (وُضعِت لها مخططات في
21	5344	إمكاناتٍ جديدةً مهمة فُتحت في	المنطق	العربي. على الأقل، تدرّب بعض
21	5367	كانت الكتب التي كتبوها في	المنطق	باللغة العربية هي ببساطة منطقًا
21	5419	ذات أهمية كبيرة في تاريخ	المنطق	العربي (انظر: الرويهب 2010ب: 114
21	5464	بشكل خاص. يتعلق الأول بموضوع	المنطق	، وهو أمرٌ يجب تحديده إذا
21	5475	كان هناك أي إمكانية لتقديم	المنطق	كعلمٍ (وهو الشيء الذي يدَّعي
21	5496	بابن سينا فيما يتعلق بموضوع	المنطق	تأثيرٌ حاسم في التقاليد المنطقية
21	5530	رؤية حول كيفية تناسب فروع	المنطق	المختلفة معًا – البرهان، والجدل، والخطابة
21	5586	الموضوع الأكثر إثارةً للجدل في	المنطق	خلال القرنين الثاني عشر والثالث
21	5685	موارد الإنترنت الأخرى) حول موضوع	المنطق	). ومع ذلك؛ فإن جميعها تتميز
21	5793	من كونه موضوعًا شائعًا عبر	المنطق	العربي. مع الأخذ في الاعتبار
21	5921	المميزة للمناقشات التي دارت في	المنطق	العربي. ومع ذلك، وفي الحالة
21	6019	الإنترنت الأخرى)). 2-1 موضوع	المنطق	إن المذهب الشائع في أوساط
21	6030	المناطقة اللاتينيين القروسطيين هو أن	المنطق	علم لغوي. والمذهب المرتبط بذلك
21	6038	والمذهب المرتبط بذلك هو أن	المنطق	يشكّل مع النحو والبلاغة: الثلاثية
21	6095	طرح السؤال حول كيفية ارتباط	المنطق	باللغة، وتحديدًا باللغة العربية. وهذا
21	6108	على مناقشة ما هو موضوع	المنطق	، وكيف اختلف موضوعه عن موضوع
21	6135	ردًّا على هجوم السيرافي على	المنطق	(انظر 1،2 أعلاه)؛ الفارابيَّ إلى
21	6147	بمحاولة ثانية لشرح كيفية ارتباط	المنطق	والنحو واللغة بعضها ببعض. النص
21	6163	النحو: ذلك أن نسبة صناعة	المنطق	إلى العقل والمعقولات كنسبة صناعة
21	6196	يسمح للفارابي أن يشرح موضوعَ	المنطق	، على النحو الآتي: النص (2
21	6204	الآتي: النص (2): وأما موضوعات	المنطق	، وهي التي فيها تعطى القوانين
21	6225	هي دالة على المعقولات. (….) وهو [	المنطق	] يشارك النحوَ بعض المشاركة بما
21	6248	تخصُّ ألفاظَ أُمَّةٍ ما، وعلم	المنطق	إنما يعطي قوانين مشتركة تعمُّ
21	6269	توصيف بلاك Black للمذهب – أن	المنطق	هو شيءٌ من النَحْو العامِّ
21	6286	نحوٍ عامٍّ هو أحد مهمات	المنطق	. الفلاسفة الآخرون في مدرسة بغداد
21	6322	مائلًا نحو الاعتقاد بأن موضوع	المنطق	هو المعقولات الثانية، وربما وصل
21	6368	جوانبُ هذه المحاولة لتحديد موضوع	المنطق	؛ توضيحًا. أولًا: هل المعقولات [الأولى
21	6381	حصان”؛ هي جزءٌ من موضوع	المنطق	؟ ثانيًا: هل الإشارة إلى العبارات
21	6391	العبارات [الألفاظ] أساسيّةٌ في تعريف	المنطق	، كما يُقْتَرح في عبارة: “[أنه
21	6474	أو جنسًا. تلك هي موضوعات	المنطق	، ويبدو أنها ليست سوى المعالجة
21	6615	طريق الرازي: النص (4): موضوع	المنطق	المعقولات الثانية، من حيث إنه
21	6690	المجهولات تأديًا صوابًا: فذاك هو	المنطق	، لا جرم كان موضوعه المعقولات
21	6797	الثانية؛ يستطيع ابن سينا وضعَ	المنطق	ضمن التسلسل الهرمي للعلوم؛ لأنه
21	6823	الأولى في صياغة الفارابي لموضوع	المنطق	. ولدى ابن سينا وجهة نظرٍ
21	6844	ضروريًّا أم لا في تعريف	المنطق	وموضوعه. النص (6): فلا خير
21	6855	في قول من يقول إن	المنطق	موضوعُه النظر في الألفاظ، من
21	6872	يتميّز لهؤلاء بالحقيقة موضوعُ صناعة	المنطق	، ولا الجهة التي بها موضوعه
