Topic	Term 0	Term 1	Term 2	Term 3	Term 4	Term 5	Term 6	Term 7	Term 8	Term 9
dump_ar_31	5.909091	3.727273	1.909091	7.545455	10.818182	5.454546	51.72727	4.181818	5.181818	3.545454
dump_ar_32	11.178248	10.876133	5.438067	3.323263	9.365559	19.335347	12.084592	3.021148	22.356495	3.021148
dump_ar_33	7.466064	5.882353	8.144797	12.669684	6.787331	13.574661	2.262443	33.936653	2.262443	7.013575
dump_ar_34	7.818182	8	3.181818	21	17.090909	13.727273	0.909091	1.909091	25	1.363636
dump_ar_35	3.818182	0.909091	0.909091	25.81818	28.454545	26.272726	0.909091	0.909091	11.090909	0.909091
dump_ar_36	6.916427	3.314121	1.440922	1.440922	5.18732	1.585014	1.440922	75.79251	1.440922	1.440922
dump_ar_37	43.47826	6.020067	3.344481	3.344481	7.35786	6.354515	3.344481	14.046822	9.364548	3.344481
dump_ar_38	15.697674	3.197675	2.906977	3.488372	42.151162	9.883721	9.593023	6.976744	3.197675	2.906977
dump_ar_39	10	4.888889	9.555556	36	2.222222	4	5.555556	23.333333	2.222222	2.222222
dump_ar_4	54.296875	13.085938	5.859375	3.515625	12.890625	1.953125	2.539063	1.953125	1.953125	1.953125
dump_ar_40	9.636363	5.090909	1.545455	0.909091	3.363637	60.45455	4.363636	1	12.727273	0.909091
dump_ar_41	1.545455	24	2.272727	45.090908	4.363636	0.909091	0.909091	0.909091	0.909091	19.090909
dump_ar_42	12.818182	36.454546	0.909091	0.909091	41	0.909091	0.909091	0.909091	0.909091	4.272727
dump_ar_43	1.909091	13.818182	7.454546	8.909091	7.545455	17.636363	0.909091	25.09091	15.545455	1.181818
dump_ar_44	5.909091	25	21.363637	3.909091	5.454546	5	3.090909	1	26.636365	2.636363
dump_ar_45	3.272727	3.909091	11.545455	23.90909	8.181818	4.909091	22.727273	6.363636	6.181818	9
dump_ar_46	4.626866	1.641791	10.149254	12.388059	8.059701	4.477612	17.761195	9.104478	30.298507	1.492537
dump_ar_47	5.792164	13.62862	1.703577	2.555366	50.08518	2.555366	1.703577	1.703577	1.703577	18.568996
dump_ar_48	6.363636	2.909091	3.727273	2.454546	22.454545	1.818182	6.272727	0.909091	50.545454	2.545454
dump_ar_49	3.610108	4.572804	50.90253	8.182912	4.572804	6.137184	5.655836	3.249098	8.303249	4.813478
dump_ar_5	8.583691	14.592275	1.072961	1.072961	7.725322	1.502146	1.072961	1.072961	61.587983	1.716738
dump_ar_50	8	5.181818	3.545454	1	7.181818	1.272727	4.909091	41.727272	16.272727	10.909091
dump_ar_6	5.913411	4.857444	1.055966	61.56283	13.305174	1.478353	4.435058	1.055966	5.174234	1.161563
dump_ar_7	7.575758	34.343433	2.777778	7.323232	12.373737	9.343434	12.121213	2.525253	6.060606	5.555556
dump_ar_8	0.909091	56.545454	2.363636	31.81818	3.272727	1.454546	0.909091	0.909091	0.909091	0.909091
dump_ar_9	25.033113	40.794703	1.324503	3.84106	18.807948	1.324503	1.324503	1.721854	3.708609	2.119205



